# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1393466
#@/user_id	jysperm
a 	ㄚ	c=1 d=5.42744e-76 t=1393466
tie tu 	貼圖	c=4 d=2.15852e-52 t=1393466
tie xia 	貼下	c=4 d=5.47346e-234 t=1393466
tie xiu 	鐵鏽	c=2 d=3.26724e-17 t=1393466
tie yi ci a 	貼一次啊	c=1 d=2.88551e-114 t=1393466
tie yi xia 	貼一下	c=5 d=9.74686e-111 t=1393466
tie zai 	貼在	c=3 d=6.50778e-94 t=1393466
tie zhe 	貼着	c=1 d=0 t=1393466
tie zhi 	貼紙	c=34 d=1.43499e-43 t=1393466
tie zhi me 	貼紙麼	c=1 d=0 t=1393466
tie zi 	帖子	c=178 d=0.0434998 t=1393466
tie zi 	貼子	c=1 d=0 t=1393466
tie zi le 	帖子了	c=1 d=1.19223e-186 t=1393466
tie zi xian 	帖子先	c=1 d=8.198e-222 t=1393466
tie zi zhong 	帖子中	c=1 d=0 t=1393466
ting 	亭	c=1 d=7.92752e-05 t=1393466
ting 	停	c=47 d=4.13936e-06 t=1393466
ting 	婷	c=2 d=0 t=1393466
ting 	庭	c=1 d=0 t=1393466
ting 	廳	c=6 d=2.18333e-10 t=1393466
ting 	挺	c=219 d=0.791029 t=1393466
ting 	聽	c=124 d=0.017249 t=1393466
ting a gong 	挺阿公	c=2 d=1.98912e-61 t=1393466
ting a hong 	挺阿訇	c=1 d=1.83875e-48 t=1393466
ting ba 	停吧	c=1 d=0 t=1393466
ting bai 	停擺	c=1 d=0.0266491 t=1393466
ting bao 	挺飽	c=1 d=3.18227e-148 t=1393466
ting bo 	停播	c=1 d=5.95196e-220 t=1393466
ting bu 	聽不	c=2 d=0.0079659 t=1393466
ting bu an quan 	聽不安全	c=1 d=0.0800583 t=1393466
ting bu chu lai 	聽不出來	c=1 d=0 t=1393466
ting bu cuo 	挺不錯	c=19 d=0.00873865 t=1393466
ting bu cuo de 	挺不錯的	c=1 d=4.94481e-98 t=1393466
ting bu dao 	聽不到	c=4 d=7.58158e-126 t=1393466
ting bu dong 	聽不懂	c=12 d=5.95736e-25 t=1393466
ting bu hao 	挺不好	c=1 d=0 t=1393466
ting bu hao shuo 	挺不好說	c=1 d=0 t=1393466
ting bu he li 	挺不合理	c=1 d=0 t=1393466
ting bu jian 	聽不見	c=6 d=4.98699e-156 t=1393466
ting bu jin 	聽不進	c=1 d=0 t=1393466
ting bu jin qu 	聽不進去	c=2 d=5.48594e-202 t=1393466
ting bu kao pu 	挺不靠譜	c=1 d=0 t=1393466
ting bu ke xue 	挺不科學	c=2 d=1.16184e-147 t=1393466
ting bu qing 	聽不清	c=4 d=1.98826e-291 t=1393466
ting bu shuang 	挺不爽	c=1 d=1.78283e-67 t=1393466
ting bu tong 	挺不同	c=1 d=0 t=1393466
ting bu xia lai 	停不下來	c=1 d=0 t=1393466
ting bu yi yang 	挺不一樣	c=3 d=1.0115e-105 t=1393466
ting bu zhu 	停不住	c=1 d=1 t=1335274
ting chan 	停產	c=2 d=2.61839e-177 t=1393466
ting chang 	挺長	c=1 d=1.15905e-295 t=1393466
ting chang 	艇長	c=3 d=0.786628 t=1393466
ting che 	停車	c=16 d=5.90832e-16 t=1393466
ting che chang 	停車場	c=2 d=2.46499e-202 t=1393466
ting che fei 	停車費	c=2 d=5.28806e-202 t=1393466
ting che wei 	停車位	c=1 d=1.49038e-253 t=1393466
ting cheng 	聽成	c=1 d=1 t=1370940
ting chou 	挺丑	c=1 d=0.00708341 t=1393466
ting cong 	聽從	c=1 d=3.14588e-101 t=1393466
ting da 	挺大	c=39 d=4.99058e-30 t=1393466
ting da 	挺搭	c=1 d=0 t=1393466
ting da de 	挺大的	c=2 d=2.00541e-10 t=1393466
ting dai gan 	挺帶感	c=1 d=0 t=1393466
ting dao 	聽到	c=32 d=0.00694315 t=1393466
ting dao guo 	聽到過	c=1 d=0 t=1393466
ting dao le 	聽到了	c=1 d=0 t=1393466
ting de 	聽得	c=4 d=7.66771e-200 t=1393466
ting de dao 	聽得到	c=2 d=0 t=1393466
ting de dong 	聽得懂	c=2 d=8.61825e-75 t=1393466
ting de xia qu 	聽得下去	c=1 d=0 t=1393466
ting di 	挺低	c=2 d=1.07885e-128 t=1393466
ting dian 	停電	c=5 d=9.78593e-151 t=1393466
ting diao 	停掉	c=56 d=0.0763379 t=1393466
ting diao le 	停掉了	c=1 d=0.472367 t=1393466
ting dong 	聽懂	c=10 d=7.26767e-11 t=1393466
ting duan 	挺短	c=1 d=2.17829e-71 t=1393466
ting dun 	停頓	c=2 d=0 t=1393466
ting duo 	挺多	c=41 d=0.0599047 t=1393466
ting duo de 	挺多的	c=4 d=2.10252e-125 t=1393466
ting duo de ba 	挺多的吧	c=1 d=0 t=1393466
ting duo ren 	挺多人	c=3 d=9.81534e-17 t=1393466
ting er zou xian 	鋌而走險	c=1 d=7.68071e-73 t=1393466
ting fang bian 	挺方便	c=10 d=1.74064e-50 t=1393466
ting fu 	停服	c=11 d=9.72577e-12 t=1393466
ting fu cha 	挺複查	c=1 d=2.53332e-112 t=1393466
ting fu he 	挺符合	c=1 d=6.642e-187 t=1393466
ting fu za 	挺複雜	c=2 d=1.69064e-60 t=1393466
ting fu za 	聽複雜	c=5 d=6.56424e-78 t=1393466
ting gan xing qu 	挺感興趣	c=2 d=1.27341e-20 t=1393466
ting gao 	挺高	c=14 d=4.70331e-09 t=1393466
ting geng 	停更	c=1 d=3.80727e-140 t=1393466
ting gu zhi 	挺固執	c=1 d=3.24411e-51 t=1393466
ting gui 	挺貴	c=11 d=2.71503e-42 t=1393466
ting guo 	聽過	c=31 d=6.86215e-12 t=1393466
ting hao 	挺好	c=163 d=0.331211 t=1393466
ting hao chi 	挺好吃	c=11 d=1.47467e-11 t=1393466
ting hao de 	挺好的	c=9 d=0.000796726 t=1393466
ting hao de ya 	挺好的呀	c=5 d=0 t=1393466
ting hao gao 	挺好搞	c=2 d=0 t=1393466
ting hao kan 	挺好看	c=7 d=3.03316e-54 t=1393466
ting hao le 	挺好了	c=1 d=0 t=1393466
ting hao shi 	挺好使	c=1 d=4.06037e-250 t=1393466
ting hao suo 	挺好鎖	c=1 d=0 t=1393466
ting hao wan 	挺好完	c=18 d=5.97481e-30 t=1393466
ting hao wan 	挺好玩	c=8 d=1.57827e-45 t=1393466
ting hao yong 	挺好用	c=11 d=0.00453922 t=1393466
ting hao zhao 	挺好找	c=1 d=0 t=1393466
ting he li 	挺合理	c=5 d=5.49337e-71 t=1393466
ting he shi 	挺合適	c=2 d=1.93573e-182 t=1393466
ting hua 	聽話	c=4 d=6.48393e-39 t=1393466
ting hua suan 	挺划算	c=3 d=2.35738e-30 t=1393466
ting huai 	挺壞	c=1 d=0 t=1393466
ting huo 	挺火	c=13 d=0.00433948 t=1393466
ting huo de 	挺火的	c=2 d=1.02086e-37 t=1393466
ting ji 	停機	c=23 d=0.00522135 t=1393466
ting ji lie 	挺激烈	c=1 d=3.87139e-160 t=1393466
ting jian 	聽見	c=3 d=1.53659e-83 t=1393466
ting jian da 	聽見大	c=1 d=0 t=1393466
ting jian dan 	挺簡單	c=18 d=4.04748e-07 t=1393466
ting jian dan de 	挺簡單的	c=1 d=4.10127e-74 t=1393466
ting jie shi 	挺結實	c=1 d=7.97037e-273 t=1393466
ting jiu 	挺久	c=1 d=0 t=1393466
ting jiu le 	聽久了	c=1 d=0 t=1393466
ting kai 	停開	c=0 d=0 t=1393466
ting kai xin 	停開新	c=2 d=8.89822e-10 t=1393466
ting kao 	停靠	c=2 d=2.44041e-10 t=1393466
ting kao pu 	挺靠譜	c=5 d=1.11556e-110 t=1393466
ting ke xi 	挺可惜	c=1 d=0 t=1393466
ting keng 	挺坑	c=9 d=2.00433e-33 t=1393466
ting kuai 	挺快	c=6 d=4.82304e-40 t=1393466
ting kuai de ya 	挺快的呀	c=1 d=0 t=1393466
ting la 	挺辣	c=1 d=0 t=1393466
ting lai 	聽來	c=1 d=0 t=1393466
ting lang fei 	挺浪費	c=1 d=2.23724e-91 t=1393466
ting le 	停了	c=18 d=9.88334e-10 t=1393466
ting le 	聽了	c=27 d=0.71177 t=1393466
ting lei 	挺累	c=1 d=4.64039e-27 t=1393466
ting leng 	挺冷	c=2 d=4.30889e-08 t=1393466
ting li 	聽力	c=8 d=1.54376e-79 t=1393466
ting li hai 	挺厲害	c=12 d=4.22788e-20 t=1393466
ting li he 	聽力和	c=2 d=0 t=1393466
ting li xiang 	挺理想	c=1 d=9.92388e-205 t=1393466
ting liao 	庭燎	c=1 d=0 t=1393466
ting liu 	停留	c=4 d=7.10129e-62 t=1393466
ting liu shi jian 	停留時間	c=1 d=2.24573e-253 t=1393466
ting liu zai 	停留在	c=4 d=0 t=1393466
ting luan tao 	挺亂套	c=1 d=0 t=1393466
ting ma fan 	挺麻煩	c=21 d=5.98907e-58 t=1393466
ting man 	挺慢	c=2 d=5.15676e-33 t=1393466
ting man 	挺滿	c=2 d=1.11875e-26 t=1393466
ting man yi 	挺滿意	c=2 d=6.75977e-41 t=1393466
ting mang 	挺忙	c=7 d=1.33452e-42 t=1393466
ting mei yi si 	挺沒意思	c=1 d=0 t=1393466
ting meng 	挺萌	c=11 d=1.33934e-55 t=1393466
ting nan 	挺難	c=3 d=3.20462e-55 t=1393466
ting nan yong 	挺難用	c=3 d=0.00511796 t=1393466
ting neng 	挺能	c=2 d=1.51247e-44 t=1393466
ting ni 	聽你	c=6 d=6.44282e-123 t=1393466
ting ni men 	聽你們	c=1 d=6.02856e-194 t=1393466
ting ni shuo 	聽你說	c=1 d=0 t=1393466
ting nuan he 	挺暖和	c=2 d=1.29424e-05 t=1393466
ting pa 	挺怕	c=1 d=5.75013e-79 t=1393466
ting pian yi 	挺便宜	c=6 d=8.24376e-23 t=1393466
ting pian yi de 	挺便宜的	c=1 d=4.00397e-115 t=1393466
ting piao liang 	挺漂亮	c=2 d=5.34408e-41 t=1393466
ting po qie 	挺迫切	c=1 d=1.93936e-204 t=1393466
ting pu tong 	挺普通	c=1 d=0 t=1393466
ting qi guai 	停奇怪	c=1 d=0 t=1393466
ting qi lai 	聽起來	c=11 d=7.61384e-29 t=1393466
ting qiao miao 	挺巧妙	c=1 d=0 t=1393466
ting qing 	挺輕	c=1 d=0 t=1393466
ting qing 	聽清	c=1 d=0 t=1393466
ting qing chu 	挺清楚	c=3 d=2.76492e-53 t=1393466
ting qing song 	挺輕鬆	c=1 d=3.87874e-06 t=1393466
ting quan 	挺全	c=4 d=3.25849e-103 t=1393466
ting rao 	挺繞	c=1 d=1.6101e-74 t=1393466
ting re 	挺熱	c=3 d=1.96821e-260 t=1393466
ting ren 	聽人	c=3 d=0 t=1393466
ting ren shuo 	聽人說	c=1 d=0 t=1393466
ting rong yi 	挺容易	c=4 d=0 t=1393466
ting shang qu 	聽上去	c=1 d=0 t=1393466
ting shao 	挺少	c=4 d=0.000102055 t=1393466
ting shen 	庭審	c=0 d=5.33469e-227 t=1393466
ting shen ji lu 	庭審記錄	c=1 d=5.36143e-226 t=1393466
ting shi fu 	挺師傅	c=1 d=4.56871e-226 t=1393466
ting shi he 	挺適合	c=2 d=1.80784e-14 t=1393466
ting shou 	停手	c=2 d=0.647265 t=1393466
ting shou huan ying 	挺受歡迎	c=1 d=1.94981e-179 t=1393466
ting shuang 	挺爽	c=3 d=2.50862e-85 t=1393466
ting shui 	挺水	c=3 d=1.5368e-114 t=1393466
ting shun li 	挺順利	c=1 d=1.93798e-225 t=1393466
ting shuo 	聽說	c=193 d=0.607495 t=1393466
ting shuo du xie 	聽說讀寫	c=1 d=5.05948e-103 t=1393466
ting shuo guo 	聽說過	c=38 d=8.78544e-07 t=1393466
ting shuo le 	聽說了	c=4 d=4.99244e-05 t=1393466
ting shuo xie 	聽說寫	c=1 d=1.87892e-302 t=1393466
ting ta 	聽他	c=2 d=0 t=1393466
ting ting 	聽聽	c=13 d=5.06428e-26 t=1393466
ting tong 	聽筒	c=1 d=0 t=1393466
ting tu hao 	挺土豪	c=1 d=0 t=1393466
ting wan 	聽完	c=3 d=1.96138e-131 t=1393466
ting wan le 	挺晚了	c=1 d=0 t=1393466
ting wen 	挺穩	c=2 d=5.07274e-76 t=1393466
ting wen dang 	聽文檔	c=1 d=1 t=1359250
ting wen ding 	挺穩定	c=1 d=1 t=1359253
ting wo 	聽我	c=10 d=4.49104e-143 t=1393466
ting wo jiang 	聽我講	c=1 d=4.51355e-142 t=1393466
ting xi 	停息	c=0 d=0 t=1393466
ting xi he 	停息和	c=4 d=4.05179e-137 t=1393466
ting xi huan 	挺喜歡	c=3 d=4.33196e-12 t=1393466
ting xi wang 	挺希望	c=2 d=5.42467e-70 t=1393466
ting xia 	停下	c=1 d=0 t=1393466
ting xia lai 	停下來	c=5 d=1.04813e-53 t=1393466
ting xia zai 	挺下載	c=1 d=0 t=1393466
ting xiang 	挺像	c=6 d=0.0121552 t=1393466
ting xiang 	挺想	c=2 d=7.24991e-41 t=1393466
ting xiang xi 	挺詳細	c=1 d=0 t=1393466
ting xiao 	挺小	c=4 d=9.64589e-18 t=1393466
ting xie e 	挺邪惡	c=1 d=4.28539e-120 t=1393466
ting xin ku 	挺辛苦	c=1 d=0.00202943 t=1393466
ting yan 	挺嚴	c=1 d=9.57572e-226 t=1393466
ting yan zhong 	挺嚴重	c=1 d=0.142274 t=1393466
ting yan zhong 	聽嚴重	c=1 d=0.141564 t=1393466
ting yi ban 	挺一般	c=1 d=8.19993e-166 t=1393466
ting yi ting 	聽一聽	c=4 d=1.00344e-11 t=1393466
ting yi wai 	挺意外	c=1 d=4.22357e-08 t=1393466
ting yi xia 	聽一下	c=1 d=0 t=1393466
ting yong 	停用	c=22 d=0.000824957 t=1393466
ting you 	挺有	c=18 d=0.000748391 t=1393466
ting you bi yao 	聽有必要	c=1 d=0 t=1393466
ting you dao li 	挺有道理	c=6 d=3.21631e-38 t=1393466
ting you gan jue 	挺有感覺	c=1 d=1.53112e-188 t=1393466
ting you ming 	挺有名	c=2 d=1.64655e-102 t=1393466
ting you qian tu 	挺有前途	c=4 d=0.00257991 t=1393466
ting you qu 	挺有去	c=1 d=5.355e-65 t=1393466
ting you qu 	挺有趣	c=3 d=0.0908474 t=1393466
ting you shi 	挺有是	c=1 d=1 t=1385760
ting you xin xin 	挺有信心	c=1 d=1.67109e-129 t=1393466
ting you xing qu 	挺有興趣	c=1 d=8.79271e-193 t=1393466
ting you yi si 	挺有意思	c=71 d=6.72398e-08 t=1393466
ting you yi si de 	挺有意思的	c=1 d=3.02932e-98 t=1393466
ting you yong 	挺有用	c=1 d=1.16723e-172 t=1393466
ting you yong 	挺游泳	c=1 d=0 t=1393466
ting yuan 	庭院	c=1 d=8.8944e-240 t=1393466
ting yuan 	挺遠	c=3 d=9.87607e-208 t=1393466
ting yuan de 	挺遠的	c=1 d=9.92557e-207 t=1393466
ting yun 	聽雲	c=3 d=1.09866e-195 t=1393466
ting zai 	停在	c=5 d=2.38295e-98 t=1393466
ting zhan 	停站	c=1 d=5.11311e-80 t=1393466
ting zhe 	聽着	c=8 d=8.47434e-24 t=1393466
ting zhe teng 	挺折騰	c=4 d=8.88251e-48 t=1393466
ting zhen qi 	聽診器	c=2 d=0 t=1393466
ting zheng chang 	挺正常	c=9 d=2.16824e-46 t=1393466
ting zheng hui 	聽證會	c=1 d=0 t=1393466
ting zhi 	停止	c=134 d=0.000812821 t=1393466
ting zhi 	停滯	c=1 d=3.36481e-69 t=1393466
ting zhi 	停職	c=2 d=0 t=1393466
ting zhi fu wu 	停止服務	c=1 d=1.87119e-136 t=1393466
ting zhong 	挺重	c=1 d=4.76681e-196 t=1393466
ting zhong 	聽衆	c=16 d=1.6438e-53 t=1393466
ting zhong yao 	挺重要	c=4 d=1.87557e-46 t=1393466
tong 	同	c=104 d=5.48875e-08 t=1393466
tong 	捅	c=1 d=8.08525e-118 t=1393466
tong 	桐	c=1 d=2.99826e-65 t=1393466
tong 	桶	c=15 d=7.35596e-07 t=1393466
tong 	痛	c=3 d=1.51093e-32 t=1393466
tong 	瞳	c=1 d=1.49401e-76 t=1393466
tong 	童	c=1 d=0 t=1393466
tong 	筒	c=1 d=1 t=1391001
tong 	通	c=54 d=0.191092 t=1393466
tong 	銅	c=5 d=1.27778e-192 t=1393466
tong ban 	銅板	c=3 d=0 t=1393466
tong ban ben 	同版本	c=3 d=0 t=1393466
tong bao 	通報	c=3 d=2.1967e-258 t=1393466
tong bi li 	同比例	c=1 d=8.45226e-199 t=1393466
tong bu 	同步	c=533 d=0.606531 t=1393466
tong bu dai ma 	同步代碼	c=1 d=0 t=1393466
tong bu dao 	同步到	c=3 d=6.86171e-70 t=1393466
tong bu di 	同步地	c=8 d=1.60993e-14 t=1393466
tong bu gong bu 	同步公佈	c=1 d=0 t=1393466
tong bu guo 	通不過	c=2 d=3.67367e-14 t=1393466
tong bu pan 	同步盤	c=4 d=4.68232e-17 t=1393466
tong bu shi 	同步時	c=3 d=6.45332e-54 t=1393466
tong bu yi xia 	同步一下	c=1 d=1.64203e-246 t=1393466
tong chang 	通常	c=209 d=1.54247 t=1393466
tong chang 	通暢	c=1 d=0 t=1393466
tong chang shi 	通常是	c=2 d=0 t=1393466
tong che 	通車	c=1 d=0 t=1393466
tong cheng 	同城	c=1 d=0 t=1393466
tong cheng 	統稱	c=6 d=2.72737e-98 t=1393466
tong chi 	通吃	c=1 d=8.51019e-103 t=1393466
tong chou 	統籌	c=8 d=5.24144e-38 t=1393466
tong chuan 	同傳	c=2 d=0 t=1393466
tong cuo 	同錯	c=1 d=9.0015e-175 t=1393466
tong dai 	同代	c=1 d=0 t=1393466
tong dao 	通道	c=13 d=1.85884e-40 t=1393466
tong deng 	同等	c=10 d=5.56312e-43 t=1393466
tong di 	同地	c=0 d=3.33236e-103 t=1393466
tong dian 	痛點	c=11 d=1.72931e-32 t=1393466
tong dian 	通電	c=2 d=2.13205e-142 t=1393466
tong dian hua 	通電話	c=1 d=4.38196e-235 t=1393466
tong feng 	同豐	c=4 d=3.88063e-188 t=1393466
tong feng 	痛風	c=1 d=2.26611e-36 t=1393466
tong feng 	通風	c=3 d=4.02237e-22 t=1393466
tong gan 	同感	c=2 d=2.66627e-08 t=1393466
tong gao 	通告	c=2 d=4.79607e-121 t=1393466
tong gao 	通稿	c=1 d=6.07254e-15 t=1393466
tong gong 	同工	c=1 d=0 t=1393466
tong gong tong chou 	同工同酬	c=1 d=0 t=1393466
tong gou 	同構	c=3 d=2.17885e-63 t=1393466
tong gu 	銅鼓	c=2 d=2.69014e-55 t=1393466
tong gu gong 	同故宮	c=1 d=0 t=1393466
tong gu gou 	銅鼓狗	c=5 d=6.31263e-30 t=1393466
tong guan 	潼關	c=1 d=3.58811e-119 t=1393466
tong guan 	通關	c=3 d=1.5097e-140 t=1393466
tong gui yu jin 	同歸於盡	c=2 d=0 t=1393466
tong guo 	通過	c=1214 d=1.73853 t=1393466
tong guo de 	通過的	c=1 d=0 t=1393466
tong guo lv 	通過率	c=1 d=1.74587e-144 t=1393466
tong guo na ge 	通過那個	c=1 d=7.15953e-158 t=1393466
tong guo si hu 	通過似乎	c=1 d=0 t=1393466
tong guo ti shi 	通過提示	c=2 d=1.88331e-65 t=1393466
tong guo wo 	通過我	c=1 d=5.78739e-08 t=1393466
tong han zi 	統漢字	c=1 d=0 t=1393466
tong hang 	同行	c=2 d=3.17727e-12 t=1393466
tong hong 	通紅	c=0 d=0 t=1393466
tong hua 	童話	c=2 d=1.5866e-70 t=1393466
tong hua 	通話	c=5 d=6.94669e-09 t=1393466
tong hua ji lu 	通話記錄	c=1 d=0 t=1393466
tong hua si 	通話四	c=10 d=5.16328e-136 t=1393466
tong hui 	痛悔	c=1 d=8.24771e-58 t=1393466
tong huo 	同夥	c=1 d=5.20901e-269 t=1393466
tong huo jin suo 	通貨緊縮	c=1 d=0 t=1393466
tong huo peng zhang 	通貨膨脹	c=2 d=0 t=1393466
tong ji 	同級	c=10 d=2.72764e-11 t=1393466
tong ji 	統計	c=1288 d=1.09446 t=1393466
tong ji bu dao 	統計不到	c=1 d=6.58481e-56 t=1393466
tong ji dao 	統計到	c=15 d=3.10525e-07 t=1393466
tong ji dao le 	統計到了	c=1 d=0 t=1393466
tong ji de hua 	統計的話	c=1 d=0 t=1393466
tong ji fen xi 	統計分析	c=1 d=0 t=1393466
tong ji guo 	統計過	c=1 d=7.27687e-114 t=1393466
tong ji he 	統計和	c=1 d=1.18712e-18 t=1393466
tong ji hen hao 	統計很好	c=1 d=0 t=1393466
tong ji li 	統計裏	c=5 d=2.3122e-67 t=1393466
tong ji mei 	統計沒	c=1 d=2.84748e-105 t=1393466
tong ji mei you 	統計沒有	c=1 d=7.49217e-251 t=1393466
tong ji shang 	統計上	c=2 d=1.11693e-95 t=1393466
tong ji shu ju 	統計數據	c=3 d=1.10303e-36 t=1393466
tong ji tu 	統計圖	c=1 d=0 t=1393466
tong ji tu biao 	統計圖表	c=7 d=1.15896e-59 t=1393466
tong jia gou 	同架構	c=1 d=2.16066e-93 t=1393466
tong jing 	痛經	c=3 d=0 t=1393466
tong ju 	同居	c=16 d=1.68197e-29 t=1393466
tong ka 	同卡	c=2 d=5.99033e-178 t=1393466
tong kai 	捅開	c=1 d=0 t=1393466
tong ku 	痛苦	c=1 d=2.88824e-37 t=1393466
tong kuai 	痛快	c=3 d=0 t=1393466
tong kuan 	同款	c=15 d=6.54305e-40 t=1393466
tong lai 	同來	c=1 d=8.6043e-291 t=1393466
tong le 	同樂	c=1 d=0 t=1393466
tong le 	通了	c=1 d=0 t=1393466
tong lei 	同類	c=26 d=0.000119762 t=1393466
tong lei xing 	同類型	c=2 d=1.39648e-164 t=1393466
tong li 	同理	c=3 d=8.9953e-20 t=1393466
tong liang 	銅梁	c=1 d=0 t=1393466
tong ling ren 	同齡人	c=9 d=0.0182243 t=1393466
tong luan 	同卵	c=1 d=0 t=1393466
tong ming 	同名	c=30 d=0.722527 t=1393466
tong nian 	同年	c=1 d=0 t=1393466
tong nian 	童年	c=4 d=0.272532 t=1393466
tong nian dai 	同年代	c=1 d=0 t=1393466
tong nian he 	童年和	c=1 d=4.38967e-50 t=1393466
tong pei 	同配	c=1 d=4.11933e-155 t=1393466
tong pei fu 	通配符	c=15 d=3.51191e-43 t=1393466
tong pei zhi 	同配置	c=6 d=9.80598e-25 t=1393466
tong pian 	通篇	c=1 d=8.82619e-32 t=1393466
tong ping 	同屏	c=1 d=0 t=1393466
tong qi 	同期	c=5 d=2.40657e-67 t=1393466
tong qin 	通勤	c=5 d=3.8573e-129 t=1393466
tong qin shi jian 	通勤時間	c=6 d=2.30929e-128 t=1393466
tong qing 	同情	c=1 d=1.87595e-19 t=1393466
tong qing ta 	同情她	c=1 d=0 t=1393466
tong qiu 	同求	c=1 d=2.84282e-27 t=1393466
tong ren 	同人	c=1 d=0 t=1393466
tong shang 	同上	c=4 d=8.68739e-22 t=1393466
tong sheng si 	同生死	c=1 d=0 t=1393466
tong shi 	同事	c=672 d=1.21112 t=1393466
tong shi 	同是	c=1 d=1.5081e-10 t=1393466
tong shi 	同時	c=960 d=0.80655 t=1393466
tong shi 	通識	c=2 d=1.15788e-49 t=1393466
tong shi dai 	同時代	c=1 d=0 t=1393466
tong shi duan 	同時短	c=1 d=0 t=1393466
tong shi jia 	同事家	c=13 d=6.73314e-24 t=1393466
tong shi jian rong 	同時兼容	c=1 d=7.88058e-228 t=1393466
tong shi shi 	同時是	c=1 d=1.9011e-293 t=1393466
tong shi shuo 	同事說	c=8 d=4.03704e-06 t=1393466
tong shi wo 	同時我	c=1 d=0 t=1393466
tong shi zai 	同時在	c=1 d=0 t=1393466
tong shu 	同屬	c=5 d=1.59668e-05 t=1393466
tong shui 	同睡	c=1 d=0 t=1393466
tong shun 	通順	c=8 d=1.8233e-38 t=1393466
tong su 	通俗	c=2 d=3.65826e-229 t=1393466
tong suo 	通縮	c=2 d=0 t=1393466
tong tai 	同態	c=3 d=4.69059e-163 t=1393466
tong tai 	同臺	c=2 d=1.39329e-49 t=1393466
tong tai fu chou 	同態復仇	c=3 d=0 t=1393466
tong ti 	同體	c=3 d=6.94433e-05 t=1393466
tong tong 	統統	c=3 d=2.1227e-61 t=1393466
tong tou 	通透	c=5 d=6.97131e-256 t=1393466
tong xian 	銅線	c=1 d=0 t=1393466
tong xiang 	通向	c=2 d=4.25256e-59 t=1393466
tong xiao 	通宵	c=1 d=0 t=1393466
tong xiao 	通曉	c=2 d=0 t=1393466
tong xin 	痛心	c=2 d=0 t=1393466
tong xin 	通信	c=2 d=7.54372e-118 t=1393466
tong xing 	同性	c=3 d=2.55372e-30 t=1393466
tong xing 	同行	c=2 d=1.0783e-269 t=1393466
tong xing 	通行	c=2 d=8.36497e-77 t=1393466
tong xing lian 	同性戀	c=3 d=0 t=1393466
tong xing zheng 	通行證	c=5 d=5.81423e-33 t=1393466
tong xue 	同學	c=33 d=0.0187902 t=1393466
tong xue de 	同學的	c=1 d=0 t=1393466
tong xue jia 	同學家	c=3 d=9.31133e-132 t=1393466
tong xue li 	同學裏	c=1 d=7.31927e-06 t=1393466
tong xue lu 	同學錄	c=1 d=0 t=1393466
tong xue men 	同學們	c=1 d=1.25315e-184 t=1393466
tong xun 	通訊	c=103 d=0.00494193 t=1393466
tong xun an quan 	通訊安全	c=1 d=0 t=1393466
tong xun ba 	通訊吧	c=1 d=0 t=1393466
tong xun bu 	通訊簿	c=2 d=0 t=1393466
tong xun lu 	通訊錄	c=12 d=0.000104117 t=1393466
tong xun shi 	通訊時	c=1 d=0 t=1393466
tong xun wei xing 	通訊衛星	c=1 d=1.58082e-299 t=1393466
tong xun xie yi 	通訊協議	c=1 d=1.46703e-185 t=1393466
tong yan 	童言	c=1 d=0 t=1393466
tong yang 	同樣	c=173 d=0.143704 t=1393466
tong yang shi 	同樣是	c=2 d=6.01826e-27 t=1393466
tong yi 	同一	c=116 d=0.00752142 t=1393466
tong yi 	同意	c=62 d=0.00904991 t=1393466
tong yi 	統一	c=330 d=0.00612731 t=1393466
tong yi ben shu 	同一本書	c=1 d=0 t=1393466
tong yi bu liao 	統一不了	c=1 d=1 t=1341121
tong yi dao 	統一到	c=1 d=0 t=1393466
tong yi di 	統一地	c=1 d=0 t=1393466
tong yi duan 	同一段	c=3 d=3.5898e-07 t=1393466
tong yi e 	統一額	c=1 d=1 t=1376391
tong yi fen 	同一份	c=15 d=0.647265 t=1393466
tong yi fen zu 	同一分組	c=2 d=0 t=1393466
tong yi ge 	同一個	c=306 d=0.343009 t=1393466
tong yi ge ren 	同一個人	c=6 d=3.59396e-50 t=1393466
tong yi hua 	統一化	c=1 d=7.27416e-139 t=1393466
tong yi jia 	同一家	c=7 d=3.04211e-30 t=1393466
tong yi ju 	同一局	c=2 d=2.54575e-52 t=1393466
tong yi kuan 	同一款	c=1 d=4.52754e-149 t=1393466
tong yi lei 	同一類	c=2 d=8.51364e-49 t=1393466
tong yi miao 	同一秒	c=1 d=1.60563e-247 t=1393466
tong yi pi 	同一批	c=2 d=0 t=1393466
tong yi pi 	統一皮	c=1 d=0 t=1393466
tong yi ping 	同一屏	c=1 d=0 t=1393466
tong yi qun 	同一羣	c=1 d=1.09025e-134 t=1393466
tong yi shang 	統一上	c=1 d=3.60671e-121 t=1393466
tong yi shi jian 	同一時間	c=25 d=1.65685 t=1393466
tong yi tai 	同一台	c=30 d=0.000944363 t=1393466
tong yi tai 	同一胎	c=1 d=0 t=1393466
tong yi tao 	同一套	c=15 d=5.36356e-25 t=1393466
tong yi tian 	同一天	c=3 d=9.16676e-95 t=1393466
tong yi tiao 	同一條	c=3 d=4.79362e-115 t=1393466
